id,interval_start,interval_end,consumption,mpan,meter_serial
253,"2025-02-03 11:00:00","2025-02-03 12:00:00",0.008,1900015119183,19L3542545
254,"2025-02-03 10:00:00","2025-02-03 11:00:00",0.006,1900015119183,19L3542545
255,"2025-02-03 09:00:00","2025-02-03 10:00:00",0.009,1900015119183,19L3542545
256,"2025-02-03 08:00:00","2025-02-03 09:00:00",0.012,1900015119183,19L3542545
257,"2025-02-03 07:00:00","2025-02-03 08:00:00",0.014,1900015119183,19L3542545
258,"2025-02-03 06:00:00","2025-02-03 07:00:00",0.012,1900015119183,19L3542545
259,"2025-02-03 05:00:00","2025-02-03 06:00:00",0.278,1900015119183,19L3542545
260,"2025-02-03 04:00:00","2025-02-03 05:00:00",4.115,1900015119183,19L3542545
261,"2025-02-03 03:00:00","2025-02-03 04:00:00",3.874,1900015119183,19L3542545
262,"2025-02-03 02:00:00","2025-02-03 03:00:00",1.833,1900015119183,19L3542545
263,"2025-02-03 01:00:00","2025-02-03 02:00:00",8.549,1900015119183,19L3542545
264,"2025-02-03 00:00:00","2025-02-03 01:00:00",1.837,1900015119183,19L3542545
265,"2025-02-02 23:00:00","2025-02-03 00:00:00",0.056,1900015119183,19L3542545
266,"2025-02-02 22:00:00","2025-02-02 23:00:00",0.007,1900015119183,19L3542545
267,"2025-02-02 21:00:00","2025-02-02 22:00:00",0.01,1900015119183,19L3542545
268,"2025-02-02 20:00:00","2025-02-02 21:00:00",0.009,1900015119183,19L3542545
269,"2025-02-02 19:00:00","2025-02-02 20:00:00",0.007,1900015119183,19L3542545
270,"2025-02-02 18:00:00","2025-02-02 19:00:00",0.008,1900015119183,19L3542545
271,"2025-02-02 17:00:00","2025-02-02 18:00:00",0.009,1900015119183,19L3542545
272,"2025-02-02 16:00:00","2025-02-02 17:00:00",0.022,1900015119183,19L3542545
273,"2025-02-02 15:00:00","2025-02-02 16:00:00",8.767,1900015119183,19L3542545
274,"2025-02-02 14:00:00","2025-02-02 15:00:00",3.933,1900015119183,19L3542545
275,"2025-02-02 13:00:00","2025-02-02 14:00:00",0.001,1900015119183,19L3542545
276,"2025-02-02 12:00:00","2025-02-02 13:00:00",0.001,1900015119183,19L3542545
277,"2025-02-02 11:00:00","2025-02-02 12:00:00",0.0,1900015119183,19L3542545
278,"2025-02-02 10:00:00","2025-02-02 11:00:00",0.0,1900015119183,19L3542545
279,"2025-02-02 09:00:00","2025-02-02 10:00:00",0.0,1900015119183,19L3542545
280,"2025-02-02 08:00:00","2025-02-02 09:00:00",0.001,1900015119183,19L3542545
281,"2025-02-02 07:00:00","2025-02-02 08:00:00",0.005,1900015119183,19L3542545
282,"2025-02-02 06:00:00","2025-02-02 07:00:00",0.006,1900015119183,19L3542545
283,"2025-02-02 05:00:00","2025-02-02 06:00:00",0.282,1900015119183,19L3542545
284,"2025-02-02 04:00:00","2025-02-02 05:00:00",0.468,1900015119183,19L3542545
285,"2025-02-02 03:00:00","2025-02-02 04:00:00",0.463,1900015119183,19L3542545
286,"2025-02-02 02:00:00","2025-02-02 03:00:00",0.504,1900015119183,19L3542545
287,"2025-02-02 01:00:00","2025-02-02 02:00:00",4.156,1900015119183,19L3542545
288,"2025-02-02 00:00:00","2025-02-02 01:00:00",6.977,1900015119183,19L3542545
289,"2025-02-01 23:00:00","2025-02-02 00:00:00",0.054,1900015119183,19L3542545
290,"2025-02-01 22:00:00","2025-02-01 23:00:00",0.001,1900015119183,19L3542545
291,"2025-02-01 21:00:00","2025-02-01 22:00:00",0.001,1900015119183,19L3542545
292,"2025-02-01 20:00:00","2025-02-01 21:00:00",0.0,1900015119183,19L3542545
293,"2025-02-01 19:00:00","2025-02-01 20:00:00",0.001,1900015119183,19L3542545
294,"2025-02-01 18:00:00","2025-02-01 19:00:00",0.005,1900015119183,19L3542545
295,"2025-02-01 17:00:00","2025-02-01 18:00:00",0.007,1900015119183,19L3542545
296,"2025-02-01 16:00:00","2025-02-01 17:00:00",0.081,1900015119183,19L3542545
297,"2025-02-01 15:00:00","2025-02-01 16:00:00",10.559,1900015119183,19L3542545
298,"2025-02-01 14:00:00","2025-02-01 15:00:00",0.001,1900015119183,19L3542545
299,"2025-02-01 13:00:00","2025-02-01 14:00:00",0.003,1900015119183,19L3542545
300,"2025-02-01 12:00:00","2025-02-01 13:00:00",0.016,1900015119183,19L3542545
301,"2025-02-01 11:00:00","2025-02-01 12:00:00",0.003,1900015119183,19L3542545
302,"2025-02-01 10:00:00","2025-02-01 11:00:00",0.002,1900015119183,19L3542545
303,"2025-02-01 09:00:00","2025-02-01 10:00:00",0.0,1900015119183,19L3542545
304,"2025-02-01 08:00:00","2025-02-01 09:00:00",0.001,1900015119183,19L3542545
305,"2025-02-01 07:00:00","2025-02-01 08:00:00",0.005,1900015119183,19L3542545
306,"2025-02-01 06:00:00","2025-02-01 07:00:00",5.603,1900015119183,19L3542545
307,"2025-02-01 05:00:00","2025-02-01 06:00:00",0.277,1900015119183,19L3542545
308,"2025-02-01 04:00:00","2025-02-01 05:00:00",1.135,1900015119183,19L3542545
